contigName	contigLen	totalAvgDepth	D1DNA_map_sorted.bam	D1DNA_map_sorted.bam-var
k105_30704	2660	9.2004	9.2004	8.55007
k105_153493	1961	9.82109	9.82109	8.18346
k105_112555	2152	16.3916	16.3916	19.1701
k105_30707	2359	16.9538	16.9538	33.3112
k105_61400	1095	7.50794	7.50794	10.0785
k105_61402	1008	9.54196	9.54312	12.1154
k105_61404	1344	8.4531	8.4531	4.71239
k105_30715	1090	10.7479	10.7479	8.17383
k105_102322	1352	12.9509	12.9509	27.0191
k105_102329	1004	8.48712	8.48712	7.55841
k105_51169	3763	25.9538	25.9538	67.1711
k105_10241	1002	17.1138	17.1138	26.4488
k105_71632	1203	16.0256	16.0256	15.9433
k105_143252	1646	12.736	12.736	13.943
k105_122786	1717	23.8047	23.8047	84.9626
k105_122787	1250	8.77636	8.77636	12.5194
k105_122788	1623	11.4311	11.4311	9.65438
k105_20471	1031	16.0726	16.0726	32.5834
k105_10246	1104	9.22013	9.22013	12.5139
k105_112563	1466	9.65881	9.65881	14.1489
k105_20478	1459	15.5363	15.5363	55.2504
k105_81877	1638	10.756	10.756	10.4818
k105_112567	1377	9.68297	9.68297	5.61638
k105_112569	1085	8.15187	8.15294	7.48943
k105_112570	1050	9.97444	9.97444	9.88255
k105_112572	1166	10.2077	10.2077	8.09379
k105_20486	1585	10.5436	10.5443	7.1743
k105_20492	1001	10.9483	10.9483	16.435
k105_122800	1694	9.92681	9.92746	13.9662
k105_71633	2041	17.0127	17.0132	27.3559
k105_71635	2578	11.4411	11.4411	19.2018
k105_51170	1459	9.19862	9.19862	5.82747
k105_51172	1048	9.90534	9.90534	9.67109
k105_30720	1125	11.5097	11.5097	13.2173
k105_30722	1436	25.8787	25.8787	49.8
k105_51178	1015	11.5746	11.5746	15.122
k105_30723	1261	8.94779	8.94779	7.01348
k105_153495	2328	95.5073	95.5073	647.755
k105_133021	1194	9.35441	9.35441	8.03156
k105_153498	1547	8.84968	8.85039	10.2319
k105_133026	1281	8.45004	8.45004	5.01587
k105_143268	1963	18.0673	18.0673	42.1014
k105_10262	3835	15.8084	15.8084	22.3901
k105_81883	1017	8.99193	8.99193	6.45604
k105_81884	1404	11.4665	11.4673	12.6705
k105_102335	1948	13.2258	13.2258	17.17
k105_102337	1681	14.7988	14.7988	21.7141
k105_112575	1689	29.0338	29.0338	80.8414
k105_112578	1414	12.0546	12.0546	20.6771
k105_112580	1015	7.90289	7.90289	3.82852
k105_122805	3015	16.5033	16.5037	35.7797
k105_122808	1077	25.2848	25.2848	29.2364
k105_92096	2206	16.695	16.695	44.535
k105_61425	1106	15.1925	15.1925	12.8676
k105_61426	1033	8.67384	8.67384	5.957
k105_61428	1206	7.64205	7.64205	12.5864
k105_51180	1656	8.68526	8.68526	12.9905
k105_51182	1543	34.9512	34.9512	39.386
k105_71645	1034	12.3439	12.3439	10.1851
k105_71646	1118	27.2335	27.2335	67.536
k105_51183	3098	10.2436	10.2436	7.26403
k105_153500	1140	10.7131	10.7131	14.0592
k105_153503	1925	11.2372	11.2372	10.3783
k105_153504	1084	10.1799	10.1799	10.2377
k105_30738	1172	15.0196	15.0196	24.4639
k105_10267	2831	15.1473	15.1473	30.96
